"id","Model","est_beta0","est_beta1","est_beta2","Design","Exposure_Highest_Error","Covar","ErrorVar","Truth"
24,"X1",0.0561854100309569,0.41678136614027,0.108200147471116,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
24,"X2",0.946288989500513,0.936789515564995,0.375926103304559,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
24,"X3",1.93284912855408,1.47817062306406,0.0776562943415155,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
24,"X4",2.90196923185522,2.0336520965935,0.785411673605576,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
24,"X5",4.03152177179568,2.59976316662202,0.11613111078405,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
25,"X1",0.113771417065772,0.567746545844533,-0.176855067484294,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
25,"X2",0.999695070639493,0.946286128933525,0.313562933187324,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
25,"X3",1.99891006377621,1.47645709121453,-0.174939221049789,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
25,"X4",2.93995567153731,1.99031360171666,0.261297307178223,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
25,"X5",3.85131043972501,2.33541861687167,0.617131688717324,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
26,"X1",-0.00689539711745058,0.487653839078382,0.292766164656726,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
26,"X2",0.93975703873287,0.977980749200987,0.224105511366771,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
26,"X3",1.9078674409799,1.63391541028542,0.236690337284752,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
26,"X4",2.75048071836759,2.04859154737237,0.543203957549554,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
26,"X5",4.08882331199765,2.63238935724071,0.623598813712455,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
27,"X1",-0.0668786640332398,0.536381472863836,0.122588059703257,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
27,"X2",0.839760276552649,0.986890893482,0.378059601623368,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
27,"X3",1.90196758668506,1.52393125159724,0.240043634801633,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
27,"X4",2.84647520668774,2.05228535052007,0.573971760530753,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
27,"X5",4.08860827810728,2.48891214201038,0.644546802480658,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
28,"X1",-0.0677969860131607,0.443762085378946,0.229695138453753,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
28,"X2",0.704775049233363,0.911519411381773,0.34246998628908,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
28,"X3",2.05867776937213,1.64682168438648,0.013780543133211,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
28,"X4",2.85213484065037,2.20474347307263,0.0208193973428296,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
28,"X5",3.85807953100796,2.58020398603617,0.816445010004939,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
29,"X1",0.0413309079468874,0.430651199482487,0.129228341355397,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
29,"X2",0.990632993826667,0.957866329862345,0.284983558058932,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
29,"X3",2.13306561787476,1.67751265288324,-0.0486024452110671,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
29,"X4",2.96182185275484,1.7873947354453,0.568507668361701,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
29,"X5",3.91888362992314,2.34838682972419,0.559941019952912,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
30,"X1",0.0451698988067156,0.49790993906965,0.061543975183087,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
30,"X2",0.991226192333591,1.2237306408258,-0.260517262307466,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
30,"X3",2.08965323887645,1.45576699345114,0.475141701212462,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
30,"X4",3.12158958532752,1.93860163131053,0.119825465410974,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
30,"X5",3.92738544155913,2.5358038749865,0.574959216691308,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
31,"X1",-0.0656683167098291,0.606588982835824,-0.0374262290572143,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
31,"X2",0.891954493360967,1.07492077839234,0.270548519456333,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
31,"X3",1.96005724985749,1.63878778887455,-0.0810327816952524,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
31,"X4",3.16410035351031,2.21397450443,0.57081175653602,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
31,"X5",3.94898124365484,2.57442088022974,0.604353148580562,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
32,"X1",0.0316268935634257,0.592726425776645,0.0390038225668085,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
32,"X2",1.07963364709362,1.03209132258598,0.23058454075607,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
32,"X3",2.06832240023591,1.37378972146264,0.45014560712141,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
32,"X4",3.01601488162805,1.67963492534389,0.664980162445668,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
32,"X5",3.82734350059382,2.54750915542903,0.697853303219317,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
33,"X1",0.0114360184132743,0.477872602647495,0.117343297376479,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
33,"X2",1.03288275138923,1.04390066673352,-0.030185647966055,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
33,"X3",2.00203736372572,1.41103095808586,0.273420133917574,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
33,"X4",3.12465337651228,1.99675717737258,-0.00304229964242604,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
33,"X5",4.19286894195791,2.40692009436157,0.446308138754965,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
34,"X1",-0.00276727240894531,0.518765779978273,0.0298304085969239,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
34,"X2",1.06241734254594,1.05883847410564,0.0318227630913987,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
34,"X3",1.99526325965094,1.42447301647104,0.464626711424908,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
34,"X4",3.05953135797227,2.02138548851974,0.570960747482944,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
34,"X5",4.20279223366311,2.56529134773875,0.336383347255748,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
35,"X1",-0.0601584626810815,0.550809727850548,-0.0172845523652915,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
35,"X2",1.10817520037945,1.02043529099096,0.145701300178851,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
35,"X3",1.81410125641259,1.46941217989607,0.431069289854564,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
35,"X4",3.0751679457457,1.82922719949192,0.296110699440048,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
35,"X5",4.15430109634161,2.41768182775434,0.156949605359317,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
36,"X1",-0.064548319174253,0.47294696759645,0.0584035190765055,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
36,"X2",1.07352588106161,1.06945466909583,0.0953757641321377,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
36,"X3",1.87682721467082,1.54149555689669,0.418966943350435,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
36,"X4",2.92138282067165,1.98463495798845,0.460859702135299,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
