"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
35,"X4",2.95699394533462,1.93023830542259,0.392640177798681,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
35,"X5",3.82454069714642,2.4355093101052,0.648226691632222,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
36,"X1",-0.0367476425390444,0.457658142796481,0.129120718552315,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
36,"X2",1.02349885622485,1.06786129419188,0.15246662873761,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
36,"X3",2.04162248801083,1.47921887884757,0.382006526201268,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
36,"X4",3.07910491038085,2.03630238327294,0.168358196572526,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
36,"X5",3.94003124504589,2.52273470122537,0.372768104661109,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
37,"X1",-0.0400257712022505,0.464494897095272,0.274484430349422,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
37,"X2",0.974448293168873,1.04008786948572,0.250972162285404,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
37,"X3",1.99281648370757,1.57777092073278,0.16608381658899,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
37,"X4",2.97465104652428,1.92565833587433,0.524073721435144,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
37,"X5",4.15335147671328,2.49014836044707,0.597563094439573,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
38,"X1",-0.0359242489949726,0.470761293661618,0.218504633850398,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
38,"X2",0.969213949457008,1.01632878858586,0.201254649903999,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
38,"X3",2.01449069769731,1.46855614539348,0.346025749442866,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
38,"X4",3.0829871556515,1.84002008970567,0.575715547691726,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
38,"X5",4.03649723655795,2.48413478619708,0.39369339105018,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
39,"X1",-0.0391409497928661,0.506321507178524,0.192217896420561,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
39,"X2",0.915134859861978,1.03912250621035,0.155124641020694,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
39,"X3",2.02584302938999,1.44369885787909,0.612361878798402,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
39,"X4",3.02890145968476,2.02606547220848,0.716586357048185,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
39,"X5",3.97804709511555,2.33296597094957,0.430882018070055,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
40,"X1",-0.0515107537397264,0.563910890550898,0.0366986917368612,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
